subject	subject_label	predicate	object	object_label	property_values	predicate_label	negated	publications	primary_knowledge_source	aggregator_knowledge_source	subject_closure	subject_closure_label	object_closure	object_closure_label
NCBIGene:1278	None	None	HP:0003577	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0010648	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003510	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001058	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001058	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002381	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0025019	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001030	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001027	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002342	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001001	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0009826	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0032153	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0100699	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002300	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000678	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0004322	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0004322	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0004322	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005623	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005622	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005692	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003023	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003023	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0004349	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000767	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000767	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0012717	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000703	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000703	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0011463	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003100	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005758	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005743	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000926	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000923	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003179	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000883	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000883	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005897	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005855	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005855	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0004586	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000977	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000977	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000963	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000963	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000963	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000963	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000939	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000286	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000278	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001591	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000260	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002816	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002816	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002812	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002827	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002827	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002808	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002808	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002808	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0006367	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000239	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000218	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002857	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001519	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001518	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0012378	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005257	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002944	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005180	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000362	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000365	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000365	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000347	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000347	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002982	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002982	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000316	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001659	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001659	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001654	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001653	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001653	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000325	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001623	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001622	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001635	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001631	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001634	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001634	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0031610	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001712	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005280	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000486	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001790	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001763	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001763	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001763	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000444	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000414	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001762	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005474	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001848	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001848	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001852	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001822	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001822	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000508	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000592	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000592	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000592	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000592	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000574	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000545	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001123	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0009906	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0100807	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0100817	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001270	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001269	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001250	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001250	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001249	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001263	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001238	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0100840	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0007400	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0007392	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0007392	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002539	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0006094	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0006099	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001374	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0025336	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000047	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000015	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000028	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000028	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0006201	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0025395	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0025392	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0031157	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0007495	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0007495	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000007	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002642	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002652	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0001321	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002647	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002647	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002647	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002619	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002619	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002619	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002616	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002617	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0002617	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0032446	None		None	None		None	None				
NCBIGene:1281	None	None	HP:0032447	None		None	None		None	None				
